NAME,TESTTAG,T1_TIME_MIDPOINT_MEAN,T2_TIME_LENGTH_MEAN,T3_TIME_MIDPOINT_VAR,P1_PARAMETER_MEAN,P2_PARAMETER_VARIANCE,O0_TOTAL_COUNT,O1_FUZZRANGE_COUNT,O2_DELAY_COUNT,O3_DELETION_COUNT,METRIC_Q
Test_104_20_06_2023_16_00_58,0,0.6277215206577016,0.0049964699072587715,0.0,0.018458921624280266,0.0,1.0,1.0,0.0,0.0,0.23636363636363636
Test_105_20_06_2023_16_00_58,0,0.6293951023509797,0.08733596993626658,0.0,0.46195448269568196,0.0,1.0,1.0,0.0,0.0,0.2409090909090909
Test_106_20_06_2023_16_00_58,0,0.41405716001843695,0.5230495963274646,0.0,0.46199707184707145,0.0,1.0,1.0,0.0,0.0,0.5318181818181819
Test_107_20_06_2023_16_00_58,0,0.6920708692796134,0.5630071109643889,0.0,0.5436757931172815,0.0,1.0,1.0,0.0,0.0,0.5363636363636364
Test_108_20_06_2023_16_00_58,0,0.7689623396721151,0.08599882851826086,0.14961011518612582,0.0842954412047865,0.004138135030921493,3.0,3.0,0.0,0.0,0.5409090909090909
Test_109_20_06_2023_16_00_58,0,0.6223521664649816,0.07076580414479566,0.005369354192720055,0.08311744302935552,0.0028358214650873476,2.0,2.0,0.0,0.0,0.24545454545454545
Test_110_20_06_2023_16_00_58,0,0.8194950550600246,0.006368979270553132,0.0,0.10025530680748843,0.0,1.0,1.0,0.0,0.0,0.25
Test_111_20_06_2023_16_15_57,0,0.4942887690660406,0.36569334391378955,0.016834430295754127,0.16344094672213083,0.011318503016527218,2.0,2.0,0.0,0.0,0.9181818181818182
Test_112_20_06_2023_16_15_57,0,0.1364616041914523,0.16474253083465049,0.0,0.004669687804080003,0.0,1.0,1.0,0.0,0.0,0.5454545454545454
Test_113_20_06_2023_16_15_57,0,0.559311464450992,0.8651919072061959,0.0,0.38340346035690914,0.0,1.0,1.0,0.0,0.0,0.8681818181818182
Test_114_20_06_2023_16_15_57,0,0.6345362167411999,0.695425192705221,0.0,0.01330126485758763,0.0,1.0,1.0,0.0,0.0,0.9363636363636364
Test_115_20_06_2023_16_15_57,0,0.5650639074612569,0.3893249144720418,0.08760956869097039,0.11112382197403575,0.002183062289606867,2.0,2.0,0.0,0.0,0.2545454545454545
Test_116_20_06_2023_16_15_57,0,0.5279174393398995,0.3213734855089086,0.08350471448268146,0.37342625697641474,0.0013316460872456397,2.0,2.0,0.0,0.0,0.6863636363636364
Test_117_20_06_2023_16_15_57,0,0.726584436936001,0.2616928266525782,0.0,0.12258673792960233,0.0,1.0,1.0,0.0,0.0,0.2590909090909091
Test_118_20_06_2023_16_15_57,0,0.16147533964561955,0.0346209451979049,0.0,0.05099948222606242,0.0,1.0,1.0,0.0,0.0,0.2636363636363636
Test_119_20_06_2023_16_15_57,0,0.6763502959700602,0.1820733341401618,0.0,0.6772452174867577,0.0,1.0,1.0,0.0,0.0,0.2681818181818182
Test_120_20_06_2023_16_15_57,0,0.2860727568961273,0.11186514814422632,0.0,0.13013616086193985,0.0,1.0,1.0,0.0,0.0,0.6909090909090909
Test_121_20_06_2023_16_30_58,0,0.2860727568961273,0.11186514814422632,0.0,0.13013616086193985,0.0,1.0,1.0,0.0,0.0,0.8045454545454546
Test_122_20_06_2023_16_30_58,0,0.707779907462619,0.10162207884221752,0.15239275887737325,0.152412614188986,0.010018867352067999,2.0,2.0,0.0,0.0,0.55
Test_123_20_06_2023_16_30_58,0,0.1364616041914523,0.16474253083465049,0.0,0.047587940623892946,0.0,1.0,1.0,0.0,0.0,0.2727272727272727
Test_124_20_06_2023_16_30_58,0,0.6678883619558365,0.012719073352936983,0.0,0.5012300115642886,0.0,1.0,1.0,0.0,0.0,0.2772727272727273
Test_125_20_06_2023_16_30_58,0,0.6277215206577016,0.0049964699072587715,0.0,0.6035666744230587,0.0,1.0,1.0,0.0,0.0,0.2818181818181818
Test_126_20_06_2023_16_30_58,0,0.6277215206577016,0.0049964699072587715,0.0,0.577595231389813,0.0,1.0,1.0,0.0,0.0,0.2863636363636364
Test_127_20_06_2023_16_30_58,0,0.2860727568961273,0.11186514814422632,0.0,0.4561617653842606,0.0,1.0,1.0,0.0,0.0,0.740909090909091
Test_128_20_06_2023_16_30_58,0,0.7943649733057092,0.3134074876609244,0.0,0.13013616086193985,0.0,1.0,1.0,0.0,0.0,0.7454545454545455
Test_129_20_06_2023_16_30_58,0,0.551673820022671,0.4764180728179924,0.0,0.6850602574956737,0.0,1.0,1.0,0.0,0.0,0.75
Test_130_20_06_2023_16_30_58,0,0.5331111877018475,0.006063936439319795,0.0,0.13013616086193985,0.0,1.0,1.0,0.0,0.0,0.2909090909090909
Test_131_20_06_2023_16_46_05,0,0.41114096059842464,0.39700662096013867,0.008701342602433743,0.04911779198882767,1.0243391608867894E-5,2.0,2.0,0.0,0.0,0.8090909090909091
Test_132_20_06_2023_16_46_05,0,0.71204845134153,0.12625567382626013,0.0,0.27608826778725803,0.0,1.0,1.0,0.0,0.0,0.29545454545454547
